location,date,people_fully_vaccinated_per_hundred
Canada,2021-01-06,0.0
Canada,2021-01-07,0.0
Canada,2021-01-08,0.01
Canada,2021-01-09,0.01
Canada,2021-01-10,0.01
Canada,2021-01-11,0.01
Canada,2021-01-12,0.01
Canada,2021-01-13,0.03
Canada,2021-01-14,0.04
Canada,2021-01-15,0.05
Canada,2021-01-16,0.05
Canada,2021-01-17,0.05
Canada,2021-01-18,0.06
Canada,2021-01-19,0.06
Canada,2021-01-20,0.1
Canada,2021-01-21,0.11
Canada,2021-01-22,0.13
Canada,2021-01-23,0.14
Canada,2021-01-24,0.15
Canada,2021-01-25,0.17
Canada,2021-01-26,0.19
Canada,2021-01-27,0.22
Canada,2021-01-28,0.24
Canada,2021-01-29,0.27
Canada,2021-01-30,0.29
Canada,2021-01-31,0.3
Canada,2021-02-01,0.31
Canada,2021-02-02,0.32
Canada,2021-02-03,0.34
Canada,2021-02-04,0.38
Canada,2021-02-05,0.41
Canada,2021-02-06,0.45
Canada,2021-02-07,0.47
Canada,2021-02-08,0.5
Canada,2021-02-09,0.54
Canada,2021-02-10,0.59
Canada,2021-02-11,0.65
Canada,2021-02-12,0.71
Canada,2021-02-13,0.76
Canada,2021-02-14,0.8
Canada,2021-02-15,0.82
Canada,2021-02-16,0.87
Canada,2021-02-17,0.91
Canada,2021-02-18,0.96
Canada,2021-02-19,1.03
Canada,2021-02-20,1.07
Canada,2021-02-21,1.11
Canada,2021-02-22,1.19
Canada,2021-02-23,1.24
Canada,2021-02-24,1.28
Canada,2021-02-25,1.32
Canada,2021-02-26,1.36
Canada,2021-02-27,1.38
Canada,2021-02-28,1.39
Canada,2021-03-01,1.43
Canada,2021-03-02,1.45
Canada,2021-03-03,1.47
Canada,2021-03-04,1.48
Canada,2021-03-05,1.49
Canada,2021-03-06,1.49
Canada,2021-03-07,1.5
Canada,2021-03-08,1.53
Canada,2021-03-09,1.53
Canada,2021-03-10,1.55
Canada,2021-03-11,1.56
Canada,2021-03-12,1.57
Canada,2021-03-13,1.57
Canada,2021-03-14,1.58
Canada,2021-03-15,1.59
Canada,2021-03-16,1.6
Canada,2021-03-17,1.62
Canada,2021-03-18,1.63
Canada,2021-03-19,1.65
Canada,2021-03-20,1.66
Canada,2021-03-21,1.67
Canada,2021-03-22,1.68
Canada,2021-03-23,1.69
Canada,2021-03-24,1.7
Canada,2021-03-25,1.72
Canada,2021-03-26,1.74
Canada,2021-03-27,1.76
Canada,2021-03-28,1.77
Canada,2021-03-29,1.78
Canada,2021-03-30,1.8
Canada,2021-03-31,1.82
Canada,2021-04-01,1.84
Canada,2021-04-02,1.86
Canada,2021-04-03,1.87
Canada,2021-04-04,1.87
Canada,2021-04-05,1.9
Canada,2021-04-06,1.94
Canada,2021-04-07,1.98
Canada,2021-04-08,2.02
Canada,2021-04-09,2.07
Canada,2021-04-10,2.1
Canada,2021-04-11,2.11
Canada,2021-04-12,2.16
Canada,2021-04-13,2.2
Canada,2021-04-14,2.23
Canada,2021-04-15,2.26
Canada,2021-04-16,2.34
Canada,2021-04-17,2.41
Canada,2021-04-18,2.42
Canada,2021-04-19,2.47
Canada,2021-04-20,2.5
Canada,2021-04-21,2.54
Canada,2021-04-22,2.58
Canada,2021-04-23,2.63
Canada,2021-04-24,2.67
Canada,2021-04-25,2.7
Canada,2021-04-26,2.72
Canada,2021-04-27,2.77
Canada,2021-04-28,2.81
Canada,2021-04-29,2.87
Canada,2021-04-30,2.89
Canada,2021-05-01,2.96
Canada,2021-05-02,2.99
Canada,2021-05-03,3.01
Canada,2021-05-04,3.06
Canada,2021-05-05,3.11
Canada,2021-05-06,3.17
Canada,2021-05-07,3.24
Canada,2021-05-08,3.29
Canada,2021-05-09,3.31
Canada,2021-05-10,3.36
Canada,2021-05-11,3.41
Canada,2021-05-12,3.47
Canada,2021-05-13,3.54
Canada,2021-05-14,3.63
Canada,2021-05-15,3.7
Canada,2021-05-16,3.74
Canada,2021-05-17,3.77
Canada,2021-05-18,3.84
Canada,2021-05-19,3.94
Canada,2021-05-20,4.05
Canada,2021-05-21,4.19
Canada,2021-05-22,4.32
Canada,2021-05-23,4.38
Canada,2021-05-24,4.43
Canada,2021-05-25,4.49
Canada,2021-05-26,4.62
Canada,2021-05-27,4.79
Canada,2021-05-28,4.98
Canada,2021-05-29,5.16
Canada,2021-05-30,5.33
Canada,2021-05-31,5.51
Canada,2021-06-01,5.73
Canada,2021-06-02,6.0
Canada,2021-06-03,6.37
Canada,2021-06-04,6.81
Canada,2021-06-05,7.19
Canada,2021-06-06,7.53
Canada,2021-06-07,7.94
Canada,2021-06-08,8.44
Canada,2021-06-09,9.07
Canada,2021-06-10,9.85
Canada,2021-06-11,10.72
Canada,2021-06-12,11.48
Canada,2021-06-13,12.17
Canada,2021-06-14,13.01
Canada,2021-06-15,13.88
Canada,2021-06-16,14.85
Canada,2021-06-17,15.91
Canada,2021-06-18,17.06
Canada,2021-06-19,18.0
Canada,2021-06-20,18.77
Canada,2021-06-21,19.64
Canada,2021-06-22,20.72
Canada,2021-06-23,21.92
Canada,2021-06-24,23.3
Canada,2021-06-25,24.52
Canada,2021-06-26,25.57
Canada,2021-06-27,26.42
Canada,2021-06-28,28.06
